,id,clone_url,created_at,description,full_name,language,name,size,stargazers_count,updated_at,forks_count
56,2805499,https://github.com/rdiez/uart_dpi.git,2011-11-18 20:55:52+00:00,DPI module for UART-based console interaction with Verilator simulations,rdiez/uart_dpi,Verilog,uart_dpi,172,24,2024-06-09 22:07:39+00:00,4
57,1133226,https://github.com/andreasdotorg/pdfparser.git,2010-12-02 20:58:42+00:00,,andreasdotorg/pdfparser,Verilog,pdfparser,1012,23,2024-06-18 14:58:41+00:00,4
58,586459,https://github.com/aeste/aemb.git,2010-03-30 12:30:41+00:00,Multi-threaded 32-bit embedded core family.,aeste/aemb,Verilog,aemb,463,23,2024-02-29 07:09:13+00:00,7
59,8623849,https://github.com/ayzk/Simulator_CPU.git,2013-03-07 09:20:57+00:00,Pipeline CPU of MIPS architecture with L1 Data Cache by Verilog,ayzk/Simulator_CPU,Verilog,Simulator_CPU,994,21,2024-05-09 07:37:05+00:00,7
60,3360764,https://github.com/jbush001/RISC-Processor.git,2012-02-05 17:16:14+00:00,32-bit RISC processor,jbush001/RISC-Processor,Verilog,RISC-Processor,81,21,2024-10-18 13:55:39+00:00,11
61,3058195,https://github.com/dlitz/openmsp430.git,2011-12-27 18:32:04+00:00,openMSP430 CPU core (from OpenCores),dlitz/openmsp430,Verilog,openmsp430,159084,21,2024-06-13 12:52:30+00:00,7
62,7064871,https://github.com/xdesigns/4way-cache.git,2012-12-08 06:50:20+00:00,Verilog cache implementation of 4-way FIFO 16k Cache,xdesigns/4way-cache,Verilog,4way-cache,116,19,2023-12-11 17:30:17+00:00,10
63,3010005,https://github.com/Biinngg/Floating-Point-Addition.git,2011-12-19 05:20:18+00:00,使用Verilog设计的带四舍五入功能的浮点加法器,Biinngg/Floating-Point-Addition,Verilog,Floating-Point-Addition,1004,19,2024-07-31 08:16:36+00:00,9
64,3006697,https://github.com/travisgoodspeed/80211scrambler.git,2011-12-18 16:19:59+00:00,Tools for working with the 802.11B scrambler when writing Packet-in-Packet exploits.,travisgoodspeed/80211scrambler,Verilog,80211scrambler,400,18,2023-12-21 20:22:11+00:00,7
65,566714,https://github.com/bendyer/adat-verilog.git,2010-03-17 15:07:43+00:00,"Altera Cyclone FPGA cores for dealing with ADAT I/O, written in Verilog.",bendyer/adat-verilog,Verilog,adat-verilog,300,18,2024-08-03 08:09:57+00:00,1
66,2575006,https://github.com/casper-astro/hdl_devel.git,2011-10-14 08:21:37+00:00,A new CASPER toolflow based on an HDL primitives library,casper-astro/hdl_devel,Verilog,hdl_devel,1458,18,2023-06-30 07:15:37+00:00,3
67,4632054,https://github.com/Murailab-arch/magukara.git,2012-06-12 01:31:51+00:00,FPGA-based open-source network tester,Murailab-arch/magukara,Verilog,magukara,12622,18,2024-01-03 00:22:11+00:00,4
68,3482530,https://github.com/dwelch67/amber_samples.git,2012-02-19 01:17:49+00:00,,dwelch67/amber_samples,Verilog,amber_samples,20563,18,2024-07-08 06:07:31+00:00,4
69,1330254,https://github.com/codyps/wimax_ofdm.git,2011-02-05 01:24:54+00:00,Partial Verilog implimentation of a WiMAX OFDM Phy,codyps/wimax_ofdm,Verilog,wimax_ofdm,2728,17,2024-10-21 00:05:00+00:00,14
70,5049094,https://github.com/sbourdeauducq/serdes-tdc.git,2012-07-14 16:39:14+00:00,SERDES-based TDC core for Spartan-6,sbourdeauducq/serdes-tdc,Verilog,serdes-tdc,768,17,2024-05-25 23:14:40+00:00,8
71,3568480,https://github.com/alok-upadhyay/MIPS-in-Verilog.git,2012-02-28 05:50:18+00:00,An implementation of MIPS single cycle datapath in Verilog. ,alok-upadhyay/MIPS-in-Verilog,Verilog,MIPS-in-Verilog,111,17,2024-06-27 11:01:19+00:00,15
72,8674111,https://github.com/Torlus/JagNetlists.git,2013-03-09 18:25:04+00:00,Atari Jaguar netlists compiler,Torlus/JagNetlists,Verilog,JagNetlists,4136,17,2023-06-02 16:31:33+00:00,1
73,5366359,https://github.com/sjaeckel/axi-bfm.git,2012-08-10 07:44:24+00:00,git clone of http://code.google.com/p/axi-bfm/,sjaeckel/axi-bfm,Verilog,axi-bfm,129,17,2024-09-09 11:09:22+00:00,13
74,3653495,https://github.com/idanw/Verilog-Pac-Man.git,2012-03-07 20:56:13+00:00,Verilog implementation of Pac-Man made for a class's final project,idanw/Verilog-Pac-Man,Verilog,Verilog-Pac-Man,1460,16,2024-06-09 06:57:53+00:00,9
75,2984739,https://github.com/whitequark/bfcpu2.git,2011-12-15 01:47:46+00:00,A pipelined brainfuck softcore in Verilog,whitequark/bfcpu2,Verilog,bfcpu2,164,16,2024-10-25 09:05:03+00:00,3
76,842803,https://github.com/ezrec/galpal.git,2010-08-17 04:11:47+00:00,Verilog models for the GAL22V10 and select PAL devices.,ezrec/galpal,Verilog,galpal,136,16,2024-02-26 08:53:51+00:00,3
77,870676,https://github.com/donnaware/ZBC---The-Zero-Board-Computer.git,2010-08-29 19:57:06+00:00,Based heavily on zet.aluzina.org and Terasic DE0,donnaware/ZBC---The-Zero-Board-Computer,Verilog,ZBC---The-Zero-Board-Computer,7332,16,2024-10-12 19:43:09+00:00,6
78,3597679,https://github.com/sevikkk/VP2motion.git,2012-03-02 00:26:26+00:00,FPGA based motion controller for RepRap style 3D printers,sevikkk/VP2motion,Verilog,VP2motion,8850,16,2023-05-17 01:18:01+00:00,9
79,8095236,https://github.com/sora/ethpipe.git,2013-02-08 14:55:23+00:00,EtherPIPE: an Ethernet character device for packet processing,sora/ethpipe,Verilog,ethpipe,16980,16,2024-10-25 18:00:18+00:00,3
80,1293955,https://github.com/peterlefanulumsdaine/Oberwolfach-explorations.git,2011-01-26 02:51:09+00:00,collaboration on work in progress,peterlefanulumsdaine/Oberwolfach-explorations,Verilog,Oberwolfach-explorations,144,15,2020-11-27 15:54:45+00:00,1
81,8175775,https://github.com/linuxbest/ahci_mpi.git,2013-02-13 08:33:17+00:00,an sata controller using smallest resource.,linuxbest/ahci_mpi,Verilog,ahci_mpi,21327,15,2024-09-28 14:34:05+00:00,6
82,5117069,https://github.com/nhandyal/Verilog-Spectrum-Analyzer.git,2012-07-19 23:39:07+00:00,FFT algorithm coded in Verilog. Designed to run on a Xillinx Spartan 6 FPGA board.,nhandyal/Verilog-Spectrum-Analyzer,Verilog,Verilog-Spectrum-Analyzer,176,14,2024-01-06 03:01:48+00:00,4
83,604394,https://github.com/jbornschein/soc-lm32.git,2010-04-10 22:01:43+00:00,Open source/hardware SoC plattform based on the lattice mico 32 softcore,jbornschein/soc-lm32,Verilog,soc-lm32,1892,14,2023-09-21 20:08:20+00:00,2
84,7419161,https://github.com/warclab/idea.git,2013-01-03 07:27:09+00:00,iDEA FPGA Soft Processor,warclab/idea,Verilog,idea,253,14,2019-06-25 11:33:10+00:00,6
85,1191536,https://github.com/vsergeev/v8cpu.git,2010-12-22 22:57:45+00:00,v8cpu is a simple multi-cycle von Neumann architecture 8-bit CPU in under 500 lines of Verilog.,vsergeev/v8cpu,Verilog,v8cpu,15,13,2024-10-15 06:14:31+00:00,3
86,4190485,https://github.com/stass/md5_core.git,2012-05-01 07:40:19+00:00,MD5 core in verilog,stass/md5_core,Verilog,md5_core,100,13,2023-12-28 07:03:22+00:00,7
87,5471474,https://github.com/MorrisMA/MiniCPU-S.git,2012-08-19 14:26:47+00:00,Minimal FPGA Processor Core for Stack-based CPU for CPLDs Using Bit-Serial Architecture,MorrisMA/MiniCPU-S,Verilog,MiniCPU-S,488,13,2024-07-11 11:16:43+00:00,3
88,5507623,https://github.com/juliusbaxter/mor1kx-dev-env.git,2012-08-22 09:56:19+00:00,Development and verification environment for the mor1kx core,juliusbaxter/mor1kx-dev-env,Verilog,mor1kx-dev-env,2891,12,2023-05-14 16:12:16+00:00,8
89,1883347,https://github.com/kik/Four-Color-Theorem-Maintenance.git,2011-06-12 02:57:27+00:00,Fixed FCT proof for latest coq and ssreflect,kik/Four-Color-Theorem-Maintenance,Verilog,Four-Color-Theorem-Maintenance,603,12,2024-09-20 18:17:06+00:00,1
90,5843696,https://github.com/marsohod4you/Amber-Marsohod2.git,2012-09-17 16:23:12+00:00,Port of Amber ARM Core project to Marsohod2 platform,marsohod4you/Amber-Marsohod2,Verilog,Amber-Marsohod2,9336,12,2024-01-12 13:09:45+00:00,11
91,4032133,https://github.com/zEko/GestureRecognition_Verilog.git,2012-04-15 13:29:44+00:00,Identifies ASL Hand Gesture for numbers using image processing in verilog,zEko/GestureRecognition_Verilog,Verilog,GestureRecognition_Verilog,136,12,2023-05-30 12:47:28+00:00,3
92,571308,https://github.com/jeras/fpga-hdl.git,2010-03-20 13:22:31+00:00,"A set of small Verilog projects, to simulate and implement on FPGA development boards",jeras/fpga-hdl,Verilog,fpga-hdl,892,12,2024-09-04 05:27:03+00:00,9
93,8175167,https://github.com/linuxbest/lzs.git,2013-02-13 07:42:47+00:00,an open source lzs hardware & software ,linuxbest/lzs,Verilog,lzs,667,12,2024-05-25 23:13:13+00:00,3
94,3259837,https://github.com/fallen/milkymist-mmu.git,2012-01-24 21:10:32+00:00,Milkymist MMU project,fallen/milkymist-mmu,Verilog,milkymist-mmu,33864,12,2023-08-31 05:03:45+00:00,1
95,1201965,https://github.com/tmbinc/crunchy.git,2010-12-28 01:59:21+00:00,Distributed FPGA Number Crunching for the Masses,tmbinc/crunchy,Verilog,crunchy,780,12,2024-01-04 19:31:25+00:00,3
96,868959,https://github.com/teamdragonforce/virtexsquared.git,2010-08-28 20:28:56+00:00,18-545 project: ARM-like SoC,teamdragonforce/virtexsquared,Verilog,virtexsquared,20603,12,2023-09-13 18:31:02+00:00,2
97,3311356,https://github.com/progranism/Open-Source-System-on-Chip-Experiment.git,2012-01-31 02:57:38+00:00,Just experimenting with Open Source SoCs on my Altera dev kit.,progranism/Open-Source-System-on-Chip-Experiment,Verilog,Open-Source-System-on-Chip-Experiment,1008,12,2022-04-09 23:12:21+00:00,6
98,3231098,https://github.com/bnewbold/netv_fpga_hdmi_overlay.git,2012-01-21 00:21:04+00:00,Mirror of NeTV FPGA Verilog Code,bnewbold/netv_fpga_hdmi_overlay,Verilog,netv_fpga_hdmi_overlay,284,12,2024-02-23 08:44:36+00:00,9
99,825856,https://github.com/ezrec/Amigo.git,2010-08-09 05:29:03+00:00,Amigo 1000 - Conversion of the Amiga 1000 schematic into Verilog 2001 RTL,ezrec/Amigo,Verilog,Amigo,144,11,2022-12-31 02:10:26+00:00,0
100,5690876,https://github.com/ryanmacdonald/Ray-Tracing-GPU.git,2012-09-05 17:43:37+00:00,RTL implementation of a ray-tracing GPU,ryanmacdonald/Ray-Tracing-GPU,Verilog,Ray-Tracing-GPU,122483,11,2024-06-07 03:24:56+00:00,5
101,3148271,https://github.com/rdiez/ethernet_dpi.git,2012-01-10 20:18:20+00:00,DPI module for Ethernet-based interaction with Verilator simulations,rdiez/ethernet_dpi,Verilog,ethernet_dpi,166,11,2024-08-13 05:45:41+00:00,1
102,8772233,https://github.com/cbl709/NAND-Flash-Control.git,2013-03-14 09:39:11+00:00,,cbl709/NAND-Flash-Control,Verilog,NAND-Flash-Control,120,11,2023-06-15 09:40:19+00:00,4
103,9020263,https://github.com/phthinh/OFDM_802_22.git,2013-03-26 01:32:50+00:00,,phthinh/OFDM_802_22,Verilog,OFDM_802_22,965,11,2024-04-03 04:32:53+00:00,9
104,6639903,https://github.com/mczerski/orpsoc-de0_nano.git,2012-11-11 15:37:42+00:00,ORPSoC fork (from git://openrisc.net/stefan/orpsoc) for de0_nano board with custom made expansion board,mczerski/orpsoc-de0_nano,Verilog,orpsoc-de0_nano,4116,11,2023-10-17 06:30:02+00:00,15
105,2257089,https://github.com/lgeek/orpsoc.git,2011-08-23 18:57:52+00:00,[abandoned fork] OpenRISC Reference Platform SoC,lgeek/orpsoc,Verilog,orpsoc,3753,11,2021-07-21 13:08:51+00:00,7
106,1269075,https://github.com/nickrobinson/G729_CODE.git,2011-01-18 23:26:36+00:00,G.729 Encoder,nickrobinson/G729_CODE,Verilog,G729_CODE,40568,10,2024-10-07 14:18:54+00:00,13
107,6745798,https://github.com/Thomasb81/Midi_SynthFpga.git,2012-11-18 10:42:24+00:00,Sound synthetizer with an fpga,Thomasb81/Midi_SynthFpga,Verilog,Midi_SynthFpga,2385,10,2023-08-01 13:59:07+00:00,3
108,603844,https://github.com/Eelis/qs-avg.git,2010-04-10 13:19:55+00:00,Proofs of Quicksort's average case complexity,Eelis/qs-avg,Verilog,qs-avg,600,10,2022-07-28 19:31:02+00:00,0
109,5781233,https://github.com/t-crest/argo.git,2012-09-12 14:45:49+00:00,Argo is a time-division multiplexing network-on-chip.,t-crest/argo,Verilog,argo,5152,10,2024-03-11 09:39:54+00:00,8
110,7535726,https://github.com/xhacker/PONG.git,2013-01-10 06:30:14+00:00,"PONG game on Nexys3, in Verilog.",xhacker/PONG,Verilog,PONG,147,10,2024-07-06 19:53:27+00:00,4
111,8911094,https://github.com/skristiansson/diila.git,2013-03-20 18:14:30+00:00,A Device Independent Integrated Logic Analyzer,skristiansson/diila,Verilog,diila,204,10,2022-05-24 15:03:04+00:00,1
112,8269617,https://github.com/alexlee-gk/cs150.git,2013-02-18 14:10:13+00:00,UC Berkeley CS150 Final Project: Face Tracking and Real-Time Ray Tracing implemented in a FPGA,alexlee-gk/cs150,Verilog,cs150,40620,9,2024-10-25 11:33:51+00:00,4
113,5395829,https://github.com/warclab/prcontrol.git,2012-08-13 07:05:06+00:00,Partial Reconfiguration Controller for Xilinx FPGAs,warclab/prcontrol,Verilog,prcontrol,192,9,2023-01-27 06:21:39+00:00,9
114,3475042,https://github.com/hutch31/sdlib.git,2012-02-18 00:02:08+00:00,srdy-drdy library,hutch31/sdlib,Verilog,sdlib,460,9,2024-03-01 17:51:48+00:00,4
115,4262753,https://github.com/ksksue/Android-FPGA-FIFO-Transfer.git,2012-05-08 16:24:40+00:00,Android-FPGA FIFO Transfer,ksksue/Android-FPGA-FIFO-Transfer,Verilog,Android-FPGA-FIFO-Transfer,129,9,2023-12-11 12:39:13+00:00,3
116,2224203,https://github.com/rdiez/orbuild.git,2011-08-17 20:27:41+00:00,OpenRISC build system,rdiez/orbuild,Verilog,orbuild,1591,9,2024-03-27 03:33:30+00:00,8
117,8521375,https://github.com/romovs/xula-lib-verilog.git,2013-03-02 14:07:23+00:00,Collection of helper modules for XuLA-200 FPGA development board written in Verilog-2001.,romovs/xula-lib-verilog,Verilog,xula-lib-verilog,244,9,2017-12-05 05:07:46+00:00,5
118,751451,https://github.com/wallento/or1200mp.git,2010-07-01 14:41:40+00:00,Multiprocessor variant of OpenRISC 1200 processor,wallento/or1200mp,Verilog,or1200mp,6980,9,2022-05-05 06:29:10+00:00,4
